name,latitude,longitude,type,color
Aachen-Burtscheid,50.7637229,6.0934379,21,4990E2
Münster-Geist,51.9423453,7.617139576,41,4990E2
Mönchengladbach Düsseldorfer Straße,51.1699859,6.4580176,46,4990E2
Dortmund Steinstraße,51.5200677,7.4607379,85,4990E2
Duisburg Kardinal-Galen-Straße,51.4378312,6.7688563,42,4990E2
Wuppertal-Langerfeld,51.2778186,7.242126,28,4990E2
Krefeld (Hafen),51.252823,6.730313742,140,4990E2
Hagen Graf-von-Galen-Ring,51.3591818,7.4604978,30,4990E2
Essen Gladbecker Straße,51.4660846,7.0087764,24,4990E2
Dortmund Brackeler Straße,51.5309243,7.5129293,51,4990E2
Schwerte,51.445525,7.5674652,84,4990E2
Warstein,51.4458105,8.3536824,82,4990E2
Elsdorf-Berrendorf,50.9262613,6.5869139,53,4990E2
Oberhausen Mülheimer Straße 117,51.44361285,6.970249182,66,4990E2
Wuppertal Gathe,51.264916,7.1472157,109,4990E2
Bielefeld Detmolder Straße,52.0013881,8.5723583,79,4990E2
Solingen Konrad-Adenauer-Straße,51.1748462,7.0846527,122,4990E2
Aachen Wilhelmstraße,50.7696336,6.0953185,60,4990E2
Gelsenkirchen Kurt-Schumacher-Straße,51.5340019,7.0760048,27,4990E2
Köln Clevischer Ring 3,50.96281845,7.004354879,113,4990E2
Köln Turiner Straße,50.9459856,6.9574194,109,4990E2
Essen-Schuir (LANUV),51.4056194,6.965926987,47,4990E2
Mönchengladbach Friedrich-Ebert-Straße,51.1723023,6.4395852,116,4990E2
Münster Weseler Straße,51.9448643,7.6127724,88,4990E2
Jackerath,51.0350475,6.4518381,143,4990E2
Jüchen-Hochneukirch,51.0985967,6.4568083,75,4990E2
Duisburg-Bruckhausen,51.4874995,6.7396567,81,4990E2
Leverkusen Gustav-Heinemann-Str.,51.0388842,7.0351688,69,4990E2
Gladbeck Goethestraße,51.5712225,6.9919199,76,4990E2
Ludwigshafen-Mundenheim,49.46469015,8.430850915,27,4990E2
Mainz-Mombach,50.0226814,8.2299142,31,4990E2
Mainz-Zitadelle,49.99306555,8.274457794,51,4990E2
Mainz-Parcusstraße,50.0019195,8.26146,87,4990E2
Mainz-Rheinallee,50.0235202,8.2354246,93,4990E2
Mainz-Große Langgasse,49.9984311,8.2692828,39,4990E2
Westpfalz-Waldmohr,49.387598,7.335234,106,4990E2
Hunsrück-Leisel,49.7488483,7.228344239,106,4990E2
Westeifel Wascheid,50.253,6.413479,103,4990E2
Westerwald-Herdorf,50.7788397,7.9514498,204,4990E2
Pfälzerwald-Hortenkopf,49.270351,7.827411,103,4990E2
Kaiserslautern-Rathausplatz,49.5465486,7.7160383,5,4990E2
Trier-Ostallee,49.7575457,6.6501783,10,4990E2
Neuwied-Hafenstraße,50.4139413,7.4811763,4,4990E2
Bad Kreuznach-Bosenheimer Straße,49.8520802,7.9510105,9,4990E2
Worms-Hagenstraße,49.6278291,8.3674208,13,4990E2
Koblenz-Friedrich-Ebert-Ring,50.3540564,7.6012679,43,4990E2
Wörth-Marktplatz,49.0007011,12.4000175,62,4990E2
Frankenthal-Europaring,49.5338868,8.3602216,24,4990E2
Westerwald-Neuhäusel,50.380414,7.7088184,40,4990E2
Ludwigshafen-Heinigstraße,49.4817407,8.4395805,90,4990E2
Koblenz-Hohenfelder Straße,50.35985,7.5922602,67,4990E2
Neuwied-Hermannstraße,50.4282428,7.4643449,39,4990E2
Trier-Pfalzel,49.7802474,6.6929108,110,4990E2
Speyer-Nord,49.34927415,8.429199145,6,4990E2
Pirmasens Innenstadt,49.198312,7.603831,83,4990E2
Dillingen City,48.5697717,10.4287176,110,4990E2
Saarbrücken-Burbach,49.2622301,6.9578927,53,4990E2
Saarbrücken-Eschberg,49.240289,7.0464707,30,4990E2
Saarbrücken-City,49.2342573,6.9958353,131,4990E2
Saarlouis-Fraulautern,49.3308832,6.7801135,58,4990E2
Völklingen-City Stadionstr.,49.256154,6.868612,48,4990E2
Biringen,52.0231307,4.2755736,48,4990E2
